Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2026 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.15% of 6.53 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    6.53                 main [1]
                0.00    6.51       1/1           runFile [4]
                0.00    0.02       1/1           freeVM [22]
                0.00    0.01       1/1           initVM [28]
-----------------------------------------------
[2]     99.8    0.13    6.39  141217+240731  <cycle 1 as a whole> [2]
                0.00    6.39   89987             collectGarbage <cycle 1> [6]
                0.12    0.00   89987             sweep <cycle 1> [19]
                0.01    0.00   20368             freeObject <cycle 1> [25]
                0.00    0.00  181591             reallocate <cycle 1> [77]
                0.00    0.00      15             freeTable <cycle 1> [123]
-----------------------------------------------
                0.00    6.51       1/1           runFile [4]
[3]     99.6    0.00    6.51       1         interpret [3]
                0.01    6.49       1/1           run [5]
                0.00    0.01       1/1           bootstrapCore [26]
                0.00    0.00       1/1           compile [29]
                0.00    0.00       1/1           newModule [73]
                0.00    0.00       2/50315       copyString [11]
                0.00    0.00       1/20366       tableSet [30]
                0.00    0.00       4/110461      push [78]
                0.00    0.00       3/60461       pop [80]
                0.00    0.00       1/1           initErrorEngine [157]
-----------------------------------------------
                0.00    6.51       1/1           main [1]
[4]     99.6    0.00    6.51       1         runFile [4]
                0.00    6.51       1/1           interpret [3]
                0.00    0.00       1/1           readFile [161]
-----------------------------------------------
                0.01    6.49       1/1           interpret [3]
[5]     99.5    0.01    6.49       1         run [5]
                0.00    5.56   50000/50000       valueToString [9]
                0.00    0.46   10000/10005       takeString [15]
                0.01    0.45   10000/141217      reallocate <cycle 1> [77]
                0.00    0.00       1/1           newRange [74]
                0.00    0.00   90006/110461      push [78]
                0.00    0.00   40007/60461       pop [80]
                0.00    0.00   20004/20008       peek [92]
                0.00    0.00   20001/20001       numToValue [93]
                0.00    0.00   10004/30004       valueToNum [91]
                0.00    0.00   10003/16709       isObjType [95]
                0.00    0.00   10000/10000       isFalsey [96]
                0.00    0.00   10000/33351       valuesEqual [90]
-----------------------------------------------
                               89987             reallocate <cycle 1> [77]
[6]     97.9    0.00    6.39   89987         collectGarbage <cycle 1> [6]
                5.77    0.00   89987/89987       tableRemoveWhite [7]
                0.11    0.38   89987/89987       traceReferences [14]
                0.06    0.07   89987/89987       markRoots [18]
                               89987             sweep <cycle 1> [19]
-----------------------------------------------
                5.77    0.00   89987/89987       collectGarbage <cycle 1> [6]
[7]     88.4    5.77    0.00   89987         tableRemoveWhite [7]
                0.00    0.00   19989/19989       tableDelete [94]
-----------------------------------------------
                0.00    5.56   50000/50000       valueToString [9]
[8]     85.2    0.00    5.56   50000         stringifyValue [8]
                0.00    2.31   50000/50000       initBuffer [10]
                0.05    2.26   50000/141217      reallocate <cycle 1> [77]
                0.00    0.95   50000/50315       copyString [11]
                0.00    0.00   50000/50000       stringifyValueToBuffer [85]
-----------------------------------------------
                0.00    5.56   50000/50000       run [5]
[9]     85.2    0.00    5.56   50000         valueToString [9]
                0.00    5.56   50000/50000       stringifyValue [8]
-----------------------------------------------
                0.00    2.31   50000/50000       stringifyValue [8]
[10]    35.4    0.00    2.31   50000         initBuffer [10]
                0.05    2.26   50000/141217      reallocate <cycle 1> [77]
-----------------------------------------------
                0.00    0.00       2/50315       defineNativeGetter [60]
                0.00    0.00       2/50315       interpret [3]
                0.00    0.00      11/50315       defineNativeType [48]
                0.00    0.00      44/50315       registerNativePhrasal [27]
                0.00    0.00     256/50315       initVM [28]
                0.00    0.95   50000/50315       stringifyValue [8]
[11]    14.6    0.00    0.95   50315         copyString [11]
                0.00    0.48   10305/20308       allocateString [13]
                0.01    0.47   10305/141217      reallocate <cycle 1> [77]
                0.00    0.00   40307/50356       hashString [81]
                0.00    0.00   40307/50312       tableFindString [82]
-----------------------------------------------
                0.00    0.00       1/20368       newFunction [71]
                0.00    0.00       1/20368       newModule [73]
                0.00    0.00       1/20368       newRange [74]
                0.00    0.00      11/20368       newType [51]
                0.00    0.00      22/20368       newMultiFunction [42]
                0.00    0.00      24/20368       newNative [39]
                0.00    0.94   20308/20368       allocateString [13]
[12]    14.4    0.00    0.94   20368         allocateObject [12]
                0.02    0.92   20368/141217      reallocate <cycle 1> [77]
-----------------------------------------------
                0.00    0.46   10003/20308       takeString [15]
                0.00    0.48   10305/20308       copyString [11]
[13]    14.4    0.00    0.94   20308         allocateString [13]
                0.00    0.94   20308/20368       allocateObject [12]
                0.00    0.00   20308/20366       tableSet [30]
                0.00    0.00   20308/110461      push [78]
                0.00    0.00   20308/60461       pop [80]
-----------------------------------------------
                0.11    0.38   89987/89987       collectGarbage <cycle 1> [6]
[14]     7.5    0.11    0.38   89987         traceReferences [14]
                0.22    0.16 33975058/33975058     blackenObject [16]
-----------------------------------------------
                0.00    0.00       5/10005       copyStringUnescaped [52]
                0.00    0.46   10000/10005       run [5]
[15]     7.1    0.00    0.46   10005         takeString [15]
                0.00    0.46   10003/20308       allocateString [13]
                0.00    0.00       2/141217      reallocate <cycle 1> [77]
                0.00    0.00   10005/50356       hashString [81]
                0.00    0.00   10005/50312       tableFindString [82]
-----------------------------------------------
                0.22    0.16 33975058/33975058     traceReferences [14]
[16]     5.8    0.22    0.16 33975058         blackenObject [16]
                0.04    0.08 1079844/1259818     markTable [17]
                0.01    0.00 4589337/33385173     markValue [20]
                0.01    0.00   89987/89987       markArray [24]
                0.01    0.00 3329519/43423734     markObject [21]
-----------------------------------------------
                0.01    0.01  179974/1259818     markRoots [18]
                0.04    0.08 1079844/1259818     blackenObject [16]
[17]     2.2    0.05    0.09 1259818         markTable [17]
                0.07    0.03 27356048/33385173     markValue [20]
-----------------------------------------------
                0.06    0.07   89987/89987       collectGarbage <cycle 1> [6]
[18]     2.0    0.06    0.07   89987         markRoots [18]
                0.05    0.00 24116516/43423734     markObject [21]
                0.01    0.01  179974/1259818     markTable [17]
                0.00    0.00  899866/33385173     markValue [20]
-----------------------------------------------
                               89987             collectGarbage <cycle 1> [6]
[19]     1.8    0.12    0.00   89987         sweep <cycle 1> [19]
                               19989             freeObject <cycle 1> [25]
-----------------------------------------------
                0.00    0.00  539922/33385173     markArray [24]
                0.00    0.00  899866/33385173     markRoots [18]
                0.01    0.00 4589337/33385173     blackenObject [16]
                0.07    0.03 27356048/33385173     markTable [17]
[20]     1.7    0.08    0.03 33385173         markValue [20]
                0.03    0.00 15977699/43423734     markObject [21]
-----------------------------------------------
                0.01    0.00 3329519/43423734     blackenObject [16]
                0.03    0.00 15977699/43423734     markValue [20]
                0.05    0.00 24116516/43423734     markRoots [18]
[21]     1.4    0.09    0.00 43423734         markObject [21]
-----------------------------------------------
                0.00    0.02       1/1           main [1]
[22]     0.3    0.00    0.02       1         freeVM [22]
                0.00    0.02       1/1           freeObjects [23]
                0.00    0.00       3/141217      freeTable <cycle 1> [123]
                0.00    0.00       1/1           freeSignatureTable [155]
-----------------------------------------------
                0.00    0.02       1/1           freeVM [22]
[23]     0.3    0.00    0.02       1         freeObjects [23]
                0.00    0.02     379/141217      freeObject <cycle 1> [25]
-----------------------------------------------
